Year,region,site,Latitude,Longitude,Elevation,Tave06,Tave07,PPT06,PPT07,MAT,MAP
1983,Southwest,Highway 26,44.38361,120.52029,1134,12.4,14.8,20,53,7.2,669
1983,Center,Tucannon,46.23581,117.74268,1035,14.7,16.9,106,83,9,1247
1984,Center,Abel's Ridge,46.2844,117.59807,1441,11.1,17.2,89,10,6.3,842
1984,North,Blue Lake,49.04672,119.55738,852,14,18.5,52,5,6,411
1984,Center,Government Trail Ridge,46.24479,117.48715,1445,10.7,17.1,87,8,6.1,745
1984,North,Rock Creek,49.04469,119.04353,849,13,17.4,60,6,5.1,411
1984,Southwest,Leslie Gulch,43.29848,117.27058,1043,15,21.8,65,9,7.4,376
1984,Southwest,McKay Creek,44.46775,120.71079,1128,10.9,16.8,49,10,6.7,482
1984,Southwest,Highway 26,44.38361,120.52029,1134,11.5,17.3,47,15,6.6,441
1984,Center,Tucannon,46.23581,117.74268,1035,13.7,19,115,8,8.1,1174
1985,Center,Abel's Ridge,46.2844,117.59807,1441,12.8,19.7,76,19,4.9,626
1985,North,Blue Lake,49.04672,119.55738,852,15.4,21.2,14,4,5.4,270
1985,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,19.6,71,19,4.7,549
1985,North,Rock Creek,49.04469,119.04353,849,14.5,20.3,20,4,4.5,269
1985,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.4,22.8,9,11,6.7,207
1985,Southwest,McKay Creek,44.46775,120.71079,1128,13.6,18.5,15,5,5.9,278
1985,Southwest,Highway 26,44.38361,120.52029,1134,14.3,19.2,15,8,5.9,270
1985,Center,Tucannon,46.23581,117.74268,1035,15.5,21.5,103,19,6.7,840
1986,Center,Abel's Ridge,46.2844,117.59807,1441,15.4,14.2,13,23,7.3,760
1986,North,Blue Lake,49.04672,119.55738,852,17.1,16.4,29,35,7.2,362
1986,Center,Government Trail Ridge,46.24479,117.48715,1445,14.9,14,14,18,7.1,658
1986,North,Rock Creek,49.04469,119.04353,849,16,15,36,33,6.2,337
1986,Southwest,Leslie Gulch,43.29848,117.27058,1043,19.7,18.7,9,3,9.5,231
1986,Southwest,McKay Creek,44.46775,120.71079,1128,15.8,14.2,9,18,8,392
1986,Southwest,Highway 26,44.38361,120.52029,1134,16.3,14.7,8,18,7.9,369
1986,Center,Tucannon,46.23581,117.74268,1035,18.1,16.2,14,24,9.1,1041
1987,Center,Abel's Ridge,46.2844,117.59807,1441,14.5,15.8,58,78,7.7,561
1987,North,Blue Lake,49.04672,119.55738,852,17.2,18.3,25,43,8.2,332
1987,Center,Government Trail Ridge,46.24479,117.48715,1445,14.1,15.5,61,67,7.5,497
1987,North,Rock Creek,49.04469,119.04353,849,16,17,28,39,7.1,309
1987,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.1,18.6,22,13,9.7,246
1987,Southwest,McKay Creek,44.46775,120.71079,1128,15.3,15.3,15,36,8.2,345
1987,Southwest,Highway 26,44.38361,120.52029,1134,15.7,15.6,16,38,8.2,333
1987,Center,Tucannon,46.23581,117.74268,1035,17.1,17.7,67,79,9.5,736
1988,Center,Abel's Ridge,46.2844,117.59807,1441,12.8,16.7,72,26,7.4,756
1988,North,Blue Lake,49.04672,119.55738,852,15.2,18.2,45,22,7.4,333
1988,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,16.6,75,22,7.2,666
1988,North,Rock Creek,49.04469,119.04353,849,14.2,17.1,43,18,6.4,311
1988,Southwest,Leslie Gulch,43.29848,117.27058,1043,19.3,21.7,22,2,9.6,229
1988,Southwest,McKay Creek,44.46775,120.71079,1128,13.1,17.1,29,1,7.9,340
1988,Southwest,Highway 26,44.38361,120.52029,1134,13.6,17.6,31,1,7.8,313
1988,Center,Tucannon,46.23581,117.74268,1035,15.5,18.7,85,25,9.2,1033
1989,Center,Abel's Ridge,46.2844,117.59807,1441,14,16.7,36,9,6.9,809
1989,North,Blue Lake,49.04672,119.55738,852,16.8,18.4,23,53,7.1,362
1989,Center,Government Trail Ridge,46.24479,117.48715,1445,13.6,16.7,44,7,6.8,728
1989,North,Rock Creek,49.04469,119.04353,849,15.6,17.4,29,33,6,338
1989,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.1,21.9,18,1,7.8,275
1989,Southwest,McKay Creek,44.46775,120.71079,1128,14.2,15.8,8,7,7.2,381
1989,Southwest,Highway 26,44.38361,120.52029,1134,14.8,16.4,8,8,7,348
1989,Center,Tucannon,46.23581,117.74268,1035,16.8,18.5,34,10,8.7,1060
1990,Center,Abel's Ridge,46.2844,117.59807,1441,12.8,18.4,45,23,7.8,736
1990,North,Blue Lake,49.04672,119.55738,852,14.4,19.6,60,44,7.4,457
1990,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,18.3,44,18,7.8,656
1990,North,Rock Creek,49.04469,119.04353,849,13.1,18.6,66,38,6.4,437
1990,Southwest,Leslie Gulch,43.29848,117.27058,1043,14.4,20.9,13,8,8.4,263
1990,Southwest,McKay Creek,44.46775,120.71079,1128,12.6,17.8,12,19,7.6,295
1990,Southwest,Highway 26,44.38361,120.52029,1134,13.2,18.3,13,20,7.5,283
1990,Center,Tucannon,46.23581,117.74268,1035,15.4,20.3,56,24,9.5,973
1991,Center,Abel's Ridge,46.2844,117.59807,1441,10.8,16.7,107,15,7.2,797
1991,North,Blue Lake,49.04672,119.55738,852,13.5,18.5,65,25,7.4,331
1991,Center,Government Trail Ridge,46.24479,117.48715,1445,10.5,16.6,105,13,7,707
1991,North,Rock Creek,49.04469,119.04353,849,12.5,17.5,63,23,6.3,315
1991,Southwest,Leslie Gulch,43.29848,117.27058,1043,14.7,22.3,23,1,8.8,258
1991,Southwest,McKay Creek,44.46775,120.71079,1128,10.9,17.2,62,11,7.8,382
1991,Southwest,Highway 26,44.38361,120.52029,1134,11.6,17.7,64,11,7.8,368
1991,Center,Tucannon,46.23581,117.74268,1035,13.4,18.6,136,15,9,1091
1992,Center,Abel's Ridge,46.2844,117.59807,1441,15.5,16.6,41,51,8.2,580
1992,North,Blue Lake,49.04672,119.55738,852,18.8,18.2,81,72,8.1,382
1992,Center,Government Trail Ridge,46.24479,117.48715,1445,15,16.6,43,44,8,522
1992,North,Rock Creek,49.04469,119.04353,849,17.6,17.1,86,61,7.1,373
1992,Southwest,Leslie Gulch,43.29848,117.27058,1043,19,19.5,48,6,9.8,221
1992,Southwest,McKay Creek,44.46775,120.71079,1128,16,16.8,56,46,8.5,420
1992,Southwest,Highway 26,44.38361,120.52029,1134,16.6,17.1,57,47,8.5,413
1992,Center,Tucannon,46.23581,117.74268,1035,18.3,18.4,53,54,10,749
1993,Center,Abel's Ridge,46.2844,117.59807,1441,12.5,13.6,88,56,6,737
1993,North,Blue Lake,49.04672,119.55738,852,14.6,15.3,66,75,6.2,387
1993,Center,Government Trail Ridge,46.24479,117.48715,1445,12.1,13.4,91,44,5.8,678
1993,North,Rock Creek,49.04469,119.04353,849,13.7,14.1,68,66,5.2,369
1993,Southwest,Leslie Gulch,43.29848,117.27058,1043,14.3,16.4,58,17,7.3,365
1993,Southwest,McKay Creek,44.46775,120.71079,1128,12.1,12.7,31,21,6.2,413
1993,Southwest,Highway 26,44.38361,120.52029,1134,12.5,13.3,34,26,6.1,409
1993,Center,Tucannon,46.23581,117.74268,1035,15.2,15.4,110,61,7.8,958
1994,Center,Abel's Ridge,46.2844,117.59807,1441,12.9,18.8,47,27,7.9,771
1994,North,Blue Lake,49.04672,119.55738,852,15.1,21.2,34,8,8,333
1994,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,18.7,48,21,7.8,675
1994,North,Rock Creek,49.04469,119.04353,849,14.1,20,41,8,7,321
1994,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.8,21.8,8,3,9.7,273
1994,Southwest,McKay Creek,44.46775,120.71079,1128,13.2,18.6,22,3,8,296
1994,Southwest,Highway 26,44.38361,120.52029,1134,13.7,19.2,24,5,8,305
1994,Center,Tucannon,46.23581,117.74268,1035,15.6,20.5,56,31,9.8,1065
1995,Center,Abel's Ridge,46.2844,117.59807,1441,12.2,17.3,130,38,7.5,1039
1995,North,Blue Lake,49.04672,119.55738,852,15.4,18.8,54,12,7.4,455
1995,Center,Government Trail Ridge,46.24479,117.48715,1445,11.9,17.2,128,27,7.4,950
1995,North,Rock Creek,49.04469,119.04353,849,14.1,17.5,60,16,6.4,419
1995,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.6,19.7,39,32,9.7,394
1995,Southwest,McKay Creek,44.46775,120.71079,1128,13.4,16.9,45,35,8,497
1995,Southwest,Highway 26,44.38361,120.52029,1134,13.7,17.3,46,37,8,498
1995,Center,Tucannon,46.23581,117.74268,1035,14.8,19.2,160,47,9.3,1363
1996,Center,Abel's Ridge,46.2844,117.59807,1441,12.8,18.5,41,12,6.9,1227
1996,North,Blue Lake,49.04672,119.55738,852,14.2,18.9,32,11,5.6,424
1996,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,18.3,39,9,6.8,1094
1996,North,Rock Creek,49.04469,119.04353,849,13,18,40,11,4.5,414
1996,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.1,21.5,9,3,9.5,303
1996,Southwest,McKay Creek,44.46775,120.71079,1128,12.8,18.6,21,5,7.6,581
1996,Southwest,Highway 26,44.38361,120.52029,1134,13.5,19.2,23,5,7.7,576
1996,Center,Tucannon,46.23581,117.74268,1035,15.3,20.4,53,13,8.7,1673
1997,Center,Abel's Ridge,46.2844,117.59807,1441,11.8,15.9,61,40,7.2,862
1997,North,Blue Lake,49.04672,119.55738,852,14.5,17.5,67,69,7.3,458
1997,Center,Government Trail Ridge,46.24479,117.48715,1445,11.4,15.7,60,33,7.1,776
1997,North,Rock Creek,49.04469,119.04353,849,13.4,16.4,66,58,6.3,446
1997,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.3,19.6,34,20,9.5,266
1997,Southwest,McKay Creek,44.46775,120.71079,1128,11.9,15.9,48,21,7.6,384
1997,Southwest,Highway 26,44.38361,120.52029,1134,12.6,16.5,48,22,7.7,379
1997,Center,Tucannon,46.23581,117.74268,1035,14.3,17.8,76,41,9.1,1111
1998,Center,Abel's Ridge,46.2844,117.59807,1441,12.5,19.9,53,55,8.3,910
1998,North,Blue Lake,49.04672,119.55738,852,15.8,21.2,44,37,8.6,505
1998,Center,Government Trail Ridge,46.24479,117.48715,1445,12.1,19.8,53,50,8.1,843
1998,North,Rock Creek,49.04469,119.04353,849,14.5,19.9,45,39,7.6,456
1998,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.4,22.9,40,20,9.8,391
1998,Southwest,McKay Creek,44.46775,120.71079,1128,13.1,18.9,11,26,8.3,553
1998,Southwest,Highway 26,44.38361,120.52029,1134,13.8,19.6,11,29,8.3,546
1998,Center,Tucannon,46.23581,117.74268,1035,15.2,21.7,69,48,10.1,1155
1999,Center,Abel's Ridge,46.2844,117.59807,1441,11.9,15.6,48,6,7.4,727
1999,North,Blue Lake,49.04672,119.55738,852,14.1,17,38,18,7.6,331
1999,Center,Government Trail Ridge,46.24479,117.48715,1445,11.5,15.4,52,6,7.2,662
1999,North,Rock Creek,49.04469,119.04353,849,13,15.6,46,23,6.6,316
1999,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.6,20.1,24,1,9.4,213
1999,Southwest,McKay Creek,44.46775,120.71079,1128,12.3,15.6,7,4,7.6,324
1999,Southwest,Highway 26,44.38361,120.52029,1134,13,16.2,8,4,7.7,313
1999,Center,Tucannon,46.23581,117.74268,1035,14.5,17.5,51,6,9.2,962
2000,Center,Abel's Ridge,46.2844,117.59807,1441,12.9,16.5,56,12,6.6,871
2000,North,Blue Lake,49.04672,119.55738,852,14.8,17.6,25,32,6.5,281
2000,Center,Government Trail Ridge,46.24479,117.48715,1445,12.5,16.4,55,8,6.4,768
2000,North,Rock Creek,49.04469,119.04353,849,13.6,16.4,28,23,5.4,277
2000,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.1,20.8,5,3,9.4,282
2000,Southwest,McKay Creek,44.46775,120.71079,1128,13.9,15.9,6,4,7.2,329
2000,Southwest,Highway 26,44.38361,120.52029,1134,14.6,16.5,6,4,7.3,330
2000,Center,Tucannon,46.23581,117.74268,1035,15.5,18.3,70,15,8.4,1167
2001,Center,Abel's Ridge,46.2844,117.59807,1441,11.5,16.5,64,28,7.1,740
2001,North,Blue Lake,49.04672,119.55738,852,13.6,18,51,48,7.3,329
2001,Center,Government Trail Ridge,46.24479,117.48715,1445,11.2,16.4,63,23,6.9,657
2001,North,Rock Creek,49.04469,119.04353,849,12.5,16.8,53,36,6.2,304
2001,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.2,20.5,9,22,9.7,243
2001,Southwest,McKay Creek,44.46775,120.71079,1128,11.9,15.9,23,26,7.6,340
